Details,Posting Date,Description,Amount,Type,Balance,Check or Slip #
DEBIT,04/22/2024,"Payment to Chase card ending in 6118 04/22",-1000.00,LOAN_PMT,18057.42,,
DEBIT,04/22/2024,"Payment to Chase card ending in 6118 04/22",-1000.00,LOAN_PMT,19057.42,,
DEBIT,04/16/2024,"Payment to Chase card ending in 6118 04/16",-1000.00,LOAN_PMT,20057.42,,
DEBIT,04/15/2024,"Payment to Chase card ending in 6118 04/15",-1000.00,LOAN_PMT,21057.42,,
DEBIT,04/10/2024,"ONLINE DOMESTIC WIRE FEE",-25.00,FEE_TRANSACTION,22057.42,,
DEBIT,04/10/2024,"ONLINE DOMESTIC WIRE TRANSFER VIA: FST AMER BK CARPET/071922777 A/C: MILLENIA CAPITAL CASA DE BOLSA SA ASUNCION PY IMAD: 0410MMQFMP2K020969 TRN: 3375834101ES 04/10",-42410.64,WIRE_OUTGOING,22082.42,,
DEBIT,04/09/2024,"INTERNATIONAL INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,64493.06,,
CREDIT,04/09/2024,"BOOK TRANSFER CREDIT B/O: JPMORGAN CHASE BANK NA - LONDON LONDON UNITED KINGDOM E14 5JP GB ORG:/GB47REVO00996931837621 1/GM DATA CENTERS AG OGB: REVOLUT LTD THE COLUMBUS BUILDING REF: N 001-002-060424 ENERGY GM2.1 MARCH/OCMT/USD3329,41/INS/REVOGB2LXXX TRN: 2005362100JS",3329.41,WIRE_INCOMING,64508.06,,
DEBIT,04/08/2024,"DOMESTIC INCOMING WIRE FEE",-15.00,FEE_TRANSACTION,61178.65,,
DEBIT,04/08/2024,"Payment to Chase card ending in 6118 04/08",-1000.00,LOAN_PMT,61193.65,,
DEBIT,04/08/2024,"Payment to Chase card ending in 6118 04/08",-1000.00,LOAN_PMT,62193.65,,
CREDIT,04/08/2024,"CHIPS CREDIT VIA: BANK OF AMERICA, N.A./0959 B/O: EXOS CAPITAL LLC OPERATING 10017 US NY REF: NBNF=DELTA MINING LLC CHICAGO IL 60610-3598 US/AC-000000007889 ORG=/48 3065963754 10017 US NY OGB=/4830659 63754 NEW YORK NY 10016-5596 OBI=/U RI/MARCH HOSTING SSN: 00555365 TRN: 0132551099FC",46311.28,WIRE_INCOMING,63193.65,,
DEBIT,04/03/2024,"Payment to Chase card ending in 6118 04/03",-8000.00,LOAN_PMT,16882.37,,
DEBIT,04/02/2024,"Online ACH Payment 11127435878 To TessaFormosa (_#####7659)",-350.25,ACH_PAYMENT,24882.37,,
DEBIT,04/01/2024,"Payment to Chase card ending in 6118 04/01",-1000.00,LOAN_PMT,25232.62,,
